ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
123,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,41","86,28",26,"262144,    1,    1","  512,    1,    1"
124,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,35","86,32",26,"262144,    1,    1","  512,    1,    1"
125,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,29","84,93",26,"262144,    1,    1","  512,    1,    1"
126,0.00,bitonic_sort_step,bitonic_sort_step..,"4,91","0,00","6,11","82,85",26,"262144,    1,    1","  512,    1,    1"
127,0.00,bitonic_sort_step,bitonic_sort_step..,"5,19","0,00","5,97","79,04",26,"262144,    1,    1","  512,    1,    1"
128,0.00,bitonic_sort_step,bitonic_sort_step..,"5,56","0,00","5,86","75,21",26,"262144,    1,    1","  512,    1,    1"
129,0.00,bitonic_sort_step,bitonic_sort_step..,"5,38","0,00","6,75","78,29",26,"262144,    1,    1","  512,    1,    1"
130,0.00,bitonic_sort_step,bitonic_sort_step..,"6,35","0,00","6,72","69,95",26,"262144,    1,    1","  512,    1,    1"
131,0.00,bitonic_sort_step,bitonic_sort_step..,"5,50","0,00","14,12","82,51",26,"262144,    1,    1","  512,    1,    1"
132,0.00,bitonic_sort_step,bitonic_sort_step..,"5,97","0,00","13,03","81,61",26,"262144,    1,    1","  512,    1,    1"
133,0.00,bitonic_sort_step,bitonic_sort_step..,"6,18","0,00","11,96","82,96",26,"262144,    1,    1","  512,    1,    1"
134,0.00,bitonic_sort_step,bitonic_sort_step..,"5,47","0,00","12,22","72,22",26,"262144,    1,    1","  512,    1,    1"
135,0.00,bitonic_sort_step,bitonic_sort_step..,"4,08","0,00","12,20","71,82",26,"262144,    1,    1","  512,    1,    1"
136,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,49","87,32",26,"262144,    1,    1","  512,    1,    1"
137,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,41","87,57",26,"262144,    1,    1","  512,    1,    1"
138,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,39","87,53",26,"262144,    1,    1","  512,    1,    1"
139,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,39","86,70",26,"262144,    1,    1","  512,    1,    1"
140,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,41","87,02",26,"262144,    1,    1","  512,    1,    1"
141,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,38","85,84",26,"262144,    1,    1","  512,    1,    1"
142,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,26","85,02",26,"262144,    1,    1","  512,    1,    1"
143,0.00,bitonic_sort_step,bitonic_sort_step..,"4,91","0,00","6,09","82,76",26,"262144,    1,    1","  512,    1,    1"
144,0.00,bitonic_sort_step,bitonic_sort_step..,"5,13","0,00","5,97","79,88",26,"262144,    1,    1","  512,    1,    1"
145,0.00,bitonic_sort_step,bitonic_sort_step..,"5,51","0,00","5,90","75,68",26,"262144,    1,    1","  512,    1,    1"
146,0.00,bitonic_sort_step,bitonic_sort_step..,"5,27","0,00","6,80","79,42",26,"262144,    1,    1","  512,    1,    1"
147,0.00,bitonic_sort_step,bitonic_sort_step..,"6,35","0,00","6,77","69,77",26,"262144,    1,    1","  512,    1,    1"
148,0.00,bitonic_sort_step,bitonic_sort_step..,"5,47","0,00","14,21","83,09",26,"262144,    1,    1","  512,    1,    1"
149,0.00,bitonic_sort_step,bitonic_sort_step..,"6,00","0,00","12,91","79,76",26,"262144,    1,    1","  512,    1,    1"
150,0.00,bitonic_sort_step,bitonic_sort_step..,"6,12","0,00","12,00","80,81",26,"262144,    1,    1","  512,    1,    1"
151,0.00,bitonic_sort_step,bitonic_sort_step..,"5,41","0,00","12,24","69,91",26,"262144,    1,    1","  512,    1,    1"
152,0.00,bitonic_sort_step,bitonic_sort_step..,"4,00","0,00","12,30","70,03",26,"262144,    1,    1","  512,    1,    1"
153,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,36","85,76",26,"262144,    1,    1","  512,    1,    1"
154,0.00,bitonic_sort_step,bitonic_sort_step..,"4,53","0,00","6,45","88,09",26,"262144,    1,    1","  512,    1,    1"
155,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,33","87,85",26,"262144,    1,    1","  512,    1,    1"
156,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,42","87,04",26,"262144,    1,    1","  512,    1,    1"
157,0.00,bitonic_sort_step,bitonic_sort_step..,"4,54","0,00","6,39","87,12",26,"262144,    1,    1","  512,    1,    1"
158,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,39","86,97",26,"262144,    1,    1","  512,    1,    1"
159,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,38","86,21",26,"262144,    1,    1","  512,    1,    1"
160,0.00,bitonic_sort_step,bitonic_sort_step..,"4,75","0,00","6,27","84,71",26,"262144,    1,    1","  512,    1,    1"
161,0.00,bitonic_sort_step,bitonic_sort_step..,"4,90","0,00","6,13","82,66",26,"262144,    1,    1","  512,    1,    1"
162,0.00,bitonic_sort_step,bitonic_sort_step..,"5,15","0,00","6,01","80,11",26,"262144,    1,    1","  512,    1,    1"
163,0.00,bitonic_sort_step,bitonic_sort_step..,"5,56","0,00","5,88","75,84",26,"262144,    1,    1","  512,    1,    1"
164,0.00,bitonic_sort_step,bitonic_sort_step..,"5,38","0,00","6,78","78,78",26,"262144,    1,    1","  512,    1,    1"
165,0.00,bitonic_sort_step,bitonic_sort_step..,"6,30","0,00","6,75","70,66",26,"262144,    1,    1","  512,    1,    1"
166,0.00,bitonic_sort_step,bitonic_sort_step..,"5,54","0,00","14,25","82,50",26,"262144,    1,    1","  512,    1,    1"
167,0.00,bitonic_sort_step,bitonic_sort_step..,"6,03","0,00","12,79","79,05",26,"262144,    1,    1","  512,    1,    1"
168,0.00,bitonic_sort_step,bitonic_sort_step..,"6,05","0,00","11,98","78,33",26,"262144,    1,    1","  512,    1,    1"
169,0.00,bitonic_sort_step,bitonic_sort_step..,"5,37","0,00","12,17","67,16",26,"262144,    1,    1","  512,    1,    1"
170,0.00,bitonic_sort_step,bitonic_sort_step..,"3,95","0,00","12,47","68,58",26,"262144,    1,    1","  512,    1,    1"
171,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,29","86,08",26,"262144,    1,    1","  512,    1,    1"
172,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,37","86,14",26,"262144,    1,    1","  512,    1,    1"
173,0.00,bitonic_sort_step,bitonic_sort_step..,"4,49","0,00","6,44","87,05",26,"262144,    1,    1","  512,    1,    1"
174,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,36","87,16",26,"262144,    1,    1","  512,    1,    1"
175,0.00,bitonic_sort_step,bitonic_sort_step..,"4,53","0,00","6,40","86,82",26,"262144,    1,    1","  512,    1,    1"
176,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,39","87,12",26,"262144,    1,    1","  512,    1,    1"
177,0.00,bitonic_sort_step,bitonic_sort_step..,"4,54","0,00","6,40","86,85",26,"262144,    1,    1","  512,    1,    1"
178,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,34","86,04",26,"262144,    1,    1","  512,    1,    1"
179,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,26","85,13",26,"262144,    1,    1","  512,    1,    1"
180,0.00,bitonic_sort_step,bitonic_sort_step..,"4,90","0,00","6,13","82,51",26,"262144,    1,    1","  512,    1,    1"
181,0.00,bitonic_sort_step,bitonic_sort_step..,"5,13","0,00","6,00","79,53",26,"262144,    1,    1","  512,    1,    1"
182,0.00,bitonic_sort_step,bitonic_sort_step..,"5,48","0,00","5,92","75,74",26,"262144,    1,    1","  512,    1,    1"
183,0.00,bitonic_sort_step,bitonic_sort_step..,"5,26","0,00","6,79","78,44",26,"262144,    1,    1","  512,    1,    1"
184,0.00,bitonic_sort_step,bitonic_sort_step..,"6,25","0,00","6,82","70,28",26,"262144,    1,    1","  512,    1,    1"
185,0.00,bitonic_sort_step,bitonic_sort_step..,"5,47","0,00","14,22","82,30",26,"262144,    1,    1","  512,    1,    1"
186,0.00,bitonic_sort_step,bitonic_sort_step..,"6,03","0,00","12,53","76,74",26,"262144,    1,    1","  512,    1,    1"
187,0.00,bitonic_sort_step,bitonic_sort_step..,"6,09","0,00","11,77","74,69",26,"262144,    1,    1","  512,    1,    1"
188,0.00,bitonic_sort_step,bitonic_sort_step..,"5,37","0,00","11,95","63,70",26,"262144,    1,    1","  512,    1,    1"
189,0.00,bitonic_sort_step,bitonic_sort_step..,"3,79","0,00","12,47","67,38",26,"262144,    1,    1","  512,    1,    1"
190,0.00,bitonic_sort_step,bitonic_sort_step..,"4,67","0,00","6,31","85,38",26,"262144,    1,    1","  512,    1,    1"
191,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,26","85,32",26,"262144,    1,    1","  512,    1,    1"
192,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,36","86,42",26,"262144,    1,    1","  512,    1,    1"
193,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,39","87,28",26,"262144,    1,    1","  512,    1,    1"
194,0.00,bitonic_sort_step,bitonic_sort_step..,"4,52","0,00","6,42","86,57",26,"262144,    1,    1","  512,    1,    1"
195,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,36","86,80",26,"262144,    1,    1","  512,    1,    1"
196,0.00,bitonic_sort_step,bitonic_sort_step..,"4,60","0,00","6,40","86,84",26,"262144,    1,    1","  512,    1,    1"
197,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,34","86,48",26,"262144,    1,    1","  512,    1,    1"
198,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,35","85,97",26,"262144,    1,    1","  512,    1,    1"
199,0.00,bitonic_sort_step,bitonic_sort_step..,"4,72","0,00","6,25","84,41",26,"262144,    1,    1","  512,    1,    1"
200,0.00,bitonic_sort_step,bitonic_sort_step..,"4,92","0,00","6,12","82,69",26,"262144,    1,    1","  512,    1,    1"
201,0.00,bitonic_sort_step,bitonic_sort_step..,"5,19","0,00","6,02","79,44",26,"262144,    1,    1","  512,    1,    1"
202,0.00,bitonic_sort_step,bitonic_sort_step..,"5,51","0,00","5,92","76,14",26,"262144,    1,    1","  512,    1,    1"
203,0.00,bitonic_sort_step,bitonic_sort_step..,"5,29","0,00","6,72","79,45",26,"262144,    1,    1","  512,    1,    1"
204,0.00,bitonic_sort_step,bitonic_sort_step..,"6,27","0,00","6,80","70,62",26,"262144,    1,    1","  512,    1,    1"
205,0.00,bitonic_sort_step,bitonic_sort_step..,"5,52","0,00","14,08","81,41",26,"262144,    1,    1","  512,    1,    1"
206,0.00,bitonic_sort_step,bitonic_sort_step..,"6,02","0,00","12,40","74,82",26,"262144,    1,    1","  512,    1,    1"
207,0.00,bitonic_sort_step,bitonic_sort_step..,"5,87","0,00","12,11","73,91",26,"262144,    1,    1","  512,    1,    1"
