ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
167,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","26,09","89,90",26," 4096,    1,    1","  512,    1,    1"
168,0.00,bitonic_sort_step,bitonic_sort_step..,"0,05","0,00","23,72","90,26",26," 4096,    1,    1","  512,    1,    1"
169,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","26,28","89,84",26," 4096,    1,    1","  512,    1,    1"
170,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","27,86","87,67",26," 4096,    1,    1","  512,    1,    1"
171,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,38","87,78",26," 4096,    1,    1","  512,    1,    1"
172,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,35","87,42",26," 4096,    1,    1","  512,    1,    1"
173,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,35","87,85",26," 4096,    1,    1","  512,    1,    1"
174,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,49","89,00",26," 4096,    1,    1","  512,    1,    1"
175,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,59","88,82",26," 4096,    1,    1","  512,    1,    1"
176,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,55","88,90",26," 4096,    1,    1","  512,    1,    1"
177,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,66","89,18",26," 4096,    1,    1","  512,    1,    1"
178,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,61","87,31",26," 4096,    1,    1","  512,    1,    1"
179,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,65","87,87",26," 4096,    1,    1","  512,    1,    1"
180,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,71","87,15",26," 4096,    1,    1","  512,    1,    1"
181,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","11,18","86,95",26," 4096,    1,    1","  512,    1,    1"
182,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","11,64","87,82",26," 4096,    1,    1","  512,    1,    1"
183,5.40,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","12,79","87,75",26," 4096,    1,    1","  512,    1,    1"
184,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","14,92","87,05",26," 4096,    1,    1","  512,    1,    1"
185,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","26,66","88,76",26," 4096,    1,    1","  512,    1,    1"
186,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","25,66","88,85",26," 4096,    1,    1","  512,    1,    1"
187,0.00,bitonic_sort_step,bitonic_sort_step..,"0,05","0,00","23,55","90,32",26," 4096,    1,    1","  512,    1,    1"
188,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","26,31","89,36",26," 4096,    1,    1","  512,    1,    1"
189,0.00,bitonic_sort_step,bitonic_sort_step..,"0,03","0,00","26,66","87,64",26," 4096,    1,    1","  512,    1,    1"
190,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,91","88,97",26," 4096,    1,    1","  512,    1,    1"
191,6.17,bitonic_sort_step,bitonic_sort_step..,"0,05","0,00","11,13","89,04",26," 4096,    1,    1","  512,    1,    1"
192,5.48,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,69","87,39",26," 4096,    1,    1","  512,    1,    1"
193,7.22,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,61","85,32",26," 4096,    1,    1","  512,    1,    1"
194,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,95","88,84",26," 4096,    1,    1","  512,    1,    1"
195,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,94","88,87",26," 4096,    1,    1","  512,    1,    1"
196,5.77,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,83","85,99",26," 4096,    1,    1","  512,    1,    1"
197,5.60,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,55","87,52",26," 4096,    1,    1","  512,    1,    1"
198,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,81","88,35",26," 4096,    1,    1","  512,    1,    1"
199,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,78","88,44",26," 4096,    1,    1","  512,    1,    1"
200,5.70,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,75","85,64",26," 4096,    1,    1","  512,    1,    1"
201,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","11,32","88,22",26," 4096,    1,    1","  512,    1,    1"
202,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","11,74","87,31",26," 4096,    1,    1","  512,    1,    1"
203,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","12,43","88,30",26," 4096,    1,    1","  512,    1,    1"
204,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","13,97","89,29",26," 4096,    1,    1","  512,    1,    1"
205,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","25,02","88,81",26," 4096,    1,    1","  512,    1,    1"
206,0.00,bitonic_sort_step,bitonic_sort_step..,"0,05","0,00","24,73","88,97",26," 4096,    1,    1","  512,    1,    1"
207,0.00,bitonic_sort_step,bitonic_sort_step..,"0,05","0,00","22,98","90,06",26," 4096,    1,    1","  512,    1,    1"
208,5.01,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","23,71","86,44",26," 4096,    1,    1","  512,    1,    1"
209,6.17,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","23,08","83,33",26," 4096,    1,    1","  512,    1,    1"
210,0.00,bitonic_sort_step,bitonic_sort_step..,"0,03","0,00","9,67","84,98",26," 4096,    1,    1","  512,    1,    1"
211,6.20,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,19","85,87",26," 4096,    1,    1","  512,    1,    1"
212,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,44","88,74",26," 4096,    1,    1","  512,    1,    1"
213,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,32","87,61",26," 4096,    1,    1","  512,    1,    1"
214,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,14","87,99",26," 4096,    1,    1","  512,    1,    1"
215,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,37","88,21",26," 4096,    1,    1","  512,    1,    1"
216,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,43","88,03",26," 4096,    1,    1","  512,    1,    1"
217,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,43","88,00",26," 4096,    1,    1","  512,    1,    1"
218,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,47","88,50",26," 4096,    1,    1","  512,    1,    1"
219,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,48","87,38",26," 4096,    1,    1","  512,    1,    1"
220,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,54","87,76",26," 4096,    1,    1","  512,    1,    1"
221,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,58","86,53",26," 4096,    1,    1","  512,    1,    1"
222,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","10,91","87,72",26," 4096,    1,    1","  512,    1,    1"
223,0.00,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","11,52","88,44",26," 4096,    1,    1","  512,    1,    1"
224,5.75,bitonic_sort_step,bitonic_sort_step..,"0,04","0,00","12,50","88,15",26," 4096,    1,    1","  512,    1,    1"
