ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
120,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,42","87,41",26,"262144,    1,    1","  512,    1,    1"
121,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,43","87,21",26,"262144,    1,    1","  512,    1,    1"
122,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,40","87,02",26,"262144,    1,    1","  512,    1,    1"
123,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,38","86,37",26,"262144,    1,    1","  512,    1,    1"
124,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,36","85,82",26,"262144,    1,    1","  512,    1,    1"
125,0.00,bitonic_sort_step,bitonic_sort_step..,"4,78","0,00","6,25","84,67",26,"262144,    1,    1","  512,    1,    1"
126,0.00,bitonic_sort_step,bitonic_sort_step..,"4,92","0,00","6,07","82,69",26,"262144,    1,    1","  512,    1,    1"
127,0.00,bitonic_sort_step,bitonic_sort_step..,"5,16","0,00","5,96","79,52",26,"262144,    1,    1","  512,    1,    1"
128,0.00,bitonic_sort_step,bitonic_sort_step..,"5,52","0,00","5,89","75,70",26,"262144,    1,    1","  512,    1,    1"
129,0.00,bitonic_sort_step,bitonic_sort_step..,"5,34","0,00","6,72","78,73",26,"262144,    1,    1","  512,    1,    1"
130,0.00,bitonic_sort_step,bitonic_sort_step..,"6,36","0,00","6,72","69,83",26,"262144,    1,    1","  512,    1,    1"
131,0.00,bitonic_sort_step,bitonic_sort_step..,"5,48","0,00","14,30","82,81",26,"262144,    1,    1","  512,    1,    1"
132,0.00,bitonic_sort_step,bitonic_sort_step..,"5,98","0,00","13,01","81,50",26,"262144,    1,    1","  512,    1,    1"
133,0.00,bitonic_sort_step,bitonic_sort_step..,"6,17","0,00","11,99","83,16",26,"262144,    1,    1","  512,    1,    1"
134,0.00,bitonic_sort_step,bitonic_sort_step..,"5,46","0,00","12,20","72,34",26,"262144,    1,    1","  512,    1,    1"
135,0.00,bitonic_sort_step,bitonic_sort_step..,"4,10","0,00","12,19","71,49",26,"262144,    1,    1","  512,    1,    1"
136,0.00,bitonic_sort_step,bitonic_sort_step..,"4,53","0,00","6,47","87,79",26,"262144,    1,    1","  512,    1,    1"
137,0.00,bitonic_sort_step,bitonic_sort_step..,"4,54","0,00","6,44","87,77",26,"262144,    1,    1","  512,    1,    1"
138,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,43","87,28",26,"262144,    1,    1","  512,    1,    1"
139,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,44","86,38",26,"262144,    1,    1","  512,    1,    1"
140,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,40","87,08",26,"262144,    1,    1","  512,    1,    1"
141,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,37","86,25",26,"262144,    1,    1","  512,    1,    1"
142,0.00,bitonic_sort_step,bitonic_sort_step..,"4,77","0,00","6,27","84,98",26,"262144,    1,    1","  512,    1,    1"
143,0.00,bitonic_sort_step,bitonic_sort_step..,"4,94","0,00","6,16","82,19",26,"262144,    1,    1","  512,    1,    1"
144,0.00,bitonic_sort_step,bitonic_sort_step..,"5,13","0,00","5,97","79,96",26,"262144,    1,    1","  512,    1,    1"
145,0.00,bitonic_sort_step,bitonic_sort_step..,"5,53","0,00","5,89","75,37",26,"262144,    1,    1","  512,    1,    1"
146,0.00,bitonic_sort_step,bitonic_sort_step..,"5,31","0,00","6,77","78,77",26,"262144,    1,    1","  512,    1,    1"
147,0.00,bitonic_sort_step,bitonic_sort_step..,"6,30","0,00","6,79","70,31",26,"262144,    1,    1","  512,    1,    1"
148,0.00,bitonic_sort_step,bitonic_sort_step..,"5,45","0,00","14,30","83,26",26,"262144,    1,    1","  512,    1,    1"
149,0.00,bitonic_sort_step,bitonic_sort_step..,"5,97","0,00","12,94","80,13",26,"262144,    1,    1","  512,    1,    1"
150,0.00,bitonic_sort_step,bitonic_sort_step..,"6,08","0,00","12,03","81,31",26,"262144,    1,    1","  512,    1,    1"
151,0.00,bitonic_sort_step,bitonic_sort_step..,"5,42","0,00","12,24","69,79",26,"262144,    1,    1","  512,    1,    1"
152,0.00,bitonic_sort_step,bitonic_sort_step..,"4,01","0,00","12,30","69,85",26,"262144,    1,    1","  512,    1,    1"
153,0.00,bitonic_sort_step,bitonic_sort_step..,"4,57","0,00","6,32","87,15",26,"262144,    1,    1","  512,    1,    1"
154,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,47","87,55",26,"262144,    1,    1","  512,    1,    1"
155,0.00,bitonic_sort_step,bitonic_sort_step..,"4,55","0,00","6,45","87,83",26,"262144,    1,    1","  512,    1,    1"
156,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,43","87,06",26,"262144,    1,    1","  512,    1,    1"
157,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,40","86,57",26,"262144,    1,    1","  512,    1,    1"
158,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,41","86,62",26,"262144,    1,    1","  512,    1,    1"
159,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,38","86,71",26,"262144,    1,    1","  512,    1,    1"
160,0.00,bitonic_sort_step,bitonic_sort_step..,"4,75","0,00","6,24","84,78",26,"262144,    1,    1","  512,    1,    1"
161,0.00,bitonic_sort_step,bitonic_sort_step..,"4,90","0,00","6,11","82,67",26,"262144,    1,    1","  512,    1,    1"
162,0.00,bitonic_sort_step,bitonic_sort_step..,"5,17","0,00","6,01","79,79",26,"262144,    1,    1","  512,    1,    1"
163,0.00,bitonic_sort_step,bitonic_sort_step..,"5,53","0,00","5,92","76,28",26,"262144,    1,    1","  512,    1,    1"
164,0.00,bitonic_sort_step,bitonic_sort_step..,"5,37","0,00","6,74","78,84",26,"262144,    1,    1","  512,    1,    1"
165,0.00,bitonic_sort_step,bitonic_sort_step..,"6,31","0,00","6,79","70,49",26,"262144,    1,    1","  512,    1,    1"
166,0.00,bitonic_sort_step,bitonic_sort_step..,"5,51","0,00","14,25","82,85",26,"262144,    1,    1","  512,    1,    1"
167,0.00,bitonic_sort_step,bitonic_sort_step..,"6,02","0,00","12,81","79,21",26,"262144,    1,    1","  512,    1,    1"
168,0.00,bitonic_sort_step,bitonic_sort_step..,"6,05","0,00","11,97","78,29",26,"262144,    1,    1","  512,    1,    1"
169,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","12,20","67,24",26,"262144,    1,    1","  512,    1,    1"
170,0.00,bitonic_sort_step,bitonic_sort_step..,"3,94","0,00","12,41","68,84",26,"262144,    1,    1","  512,    1,    1"
171,0.00,bitonic_sort_step,bitonic_sort_step..,"4,71","0,00","6,26","84,54",26,"262144,    1,    1","  512,    1,    1"
172,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,32","86,48",26,"262144,    1,    1","  512,    1,    1"
173,0.00,bitonic_sort_step,bitonic_sort_step..,"4,48","0,00","6,46","87,15",26,"262144,    1,    1","  512,    1,    1"
174,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,40","86,59",26,"262144,    1,    1","  512,    1,    1"
175,0.00,bitonic_sort_step,bitonic_sort_step..,"4,53","0,00","6,41","86,91",26,"262144,    1,    1","  512,    1,    1"
176,0.00,bitonic_sort_step,bitonic_sort_step..,"4,61","0,00","6,40","87,02",26,"262144,    1,    1","  512,    1,    1"
177,0.00,bitonic_sort_step,bitonic_sort_step..,"4,54","0,00","6,41","86,81",26,"262144,    1,    1","  512,    1,    1"
178,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,34","86,05",26,"262144,    1,    1","  512,    1,    1"
179,0.00,bitonic_sort_step,bitonic_sort_step..,"4,75","0,00","6,25","85,50",26,"262144,    1,    1","  512,    1,    1"
180,0.00,bitonic_sort_step,bitonic_sort_step..,"4,91","0,00","6,13","82,36",26,"262144,    1,    1","  512,    1,    1"
181,0.00,bitonic_sort_step,bitonic_sort_step..,"5,11","0,00","6,00","79,88",26,"262144,    1,    1","  512,    1,    1"
182,0.00,bitonic_sort_step,bitonic_sort_step..,"5,48","0,00","5,92","75,64",26,"262144,    1,    1","  512,    1,    1"
183,0.00,bitonic_sort_step,bitonic_sort_step..,"5,27","0,00","6,87","78,22",26,"262144,    1,    1","  512,    1,    1"
184,0.00,bitonic_sort_step,bitonic_sort_step..,"6,21","0,00","6,81","70,76",26,"262144,    1,    1","  512,    1,    1"
185,0.00,bitonic_sort_step,bitonic_sort_step..,"5,47","0,00","14,26","82,33",26,"262144,    1,    1","  512,    1,    1"
186,0.00,bitonic_sort_step,bitonic_sort_step..,"6,01","0,00","12,55","76,95",26,"262144,    1,    1","  512,    1,    1"
187,0.00,bitonic_sort_step,bitonic_sort_step..,"6,03","0,00","11,81","75,45",26,"262144,    1,    1","  512,    1,    1"
188,0.00,bitonic_sort_step,bitonic_sort_step..,"5,36","0,00","11,95","63,78",26,"262144,    1,    1","  512,    1,    1"
189,0.00,bitonic_sort_step,bitonic_sort_step..,"3,79","0,00","12,48","67,26",26,"262144,    1,    1","  512,    1,    1"
190,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,26","86,07",26,"262144,    1,    1","  512,    1,    1"
191,0.00,bitonic_sort_step,bitonic_sort_step..,"4,67","0,00","6,25","84,83",26,"262144,    1,    1","  512,    1,    1"
192,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,37","86,09",26,"262144,    1,    1","  512,    1,    1"
193,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,38","86,87",26,"262144,    1,    1","  512,    1,    1"
194,0.00,bitonic_sort_step,bitonic_sort_step..,"4,51","0,00","6,37","86,78",26,"262144,    1,    1","  512,    1,    1"
195,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,39","86,88",26,"262144,    1,    1","  512,    1,    1"
196,0.00,bitonic_sort_step,bitonic_sort_step..,"4,60","0,00","6,39","86,69",26,"262144,    1,    1","  512,    1,    1"
197,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,38","86,58",26,"262144,    1,    1","  512,    1,    1"
198,0.00,bitonic_sort_step,bitonic_sort_step..,"4,62","0,00","6,35","86,13",26,"262144,    1,    1","  512,    1,    1"
199,0.00,bitonic_sort_step,bitonic_sort_step..,"4,72","0,00","6,24","84,49",26,"262144,    1,    1","  512,    1,    1"
