ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
68,0.00,bitonic_sort_step,bitonic_sort_step..,"4,89","0,00","6,15","83,25",26,"262144,    1,    1","  512,    1,    1"
69,0.00,bitonic_sort_step,bitonic_sort_step..,"5,17","0,00","6,00","79,65",26,"262144,    1,    1","  512,    1,    1"
70,0.00,bitonic_sort_step,bitonic_sort_step..,"5,60","0,00","5,86","75,01",26,"262144,    1,    1","  512,    1,    1"
71,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,75","78,69",26,"262144,    1,    1","  512,    1,    1"
72,0.00,bitonic_sort_step,bitonic_sort_step..,"6,45","0,00","6,62","69,61",26,"262144,    1,    1","  512,    1,    1"
73,0.00,bitonic_sort_step,bitonic_sort_step..,"5,54","0,00","14,16","82,81",26,"262144,    1,    1","  512,    1,    1"
74,0.00,bitonic_sort_step,bitonic_sort_step..,"5,94","0,00","13,16","83,76",26,"262144,    1,    1","  512,    1,    1"
75,0.00,bitonic_sort_step,bitonic_sort_step..,"6,40","0,00","11,85","88,06",26,"262144,    1,    1","  512,    1,    1"
76,0.00,bitonic_sort_step,bitonic_sort_step..,"5,92","0,00","11,79","80,31",26,"262144,    1,    1","  512,    1,    1"
77,0.00,bitonic_sort_step,bitonic_sort_step..,"4,96","0,00","11,45","73,50",26,"262144,    1,    1","  512,    1,    1"
78,0.00,bitonic_sort_step,bitonic_sort_step..,"4,60","0,00","6,41","86,80",26,"262144,    1,    1","  512,    1,    1"
79,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,35","86,17",26,"262144,    1,    1","  512,    1,    1"
80,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,24","84,64",26,"262144,    1,    1","  512,    1,    1"
81,0.00,bitonic_sort_step,bitonic_sort_step..,"4,93","0,00","6,14","82,65",26,"262144,    1,    1","  512,    1,    1"
82,0.00,bitonic_sort_step,bitonic_sort_step..,"5,19","0,00","6,00","79,33",26,"262144,    1,    1","  512,    1,    1"
83,0.00,bitonic_sort_step,bitonic_sort_step..,"5,59","0,00","5,88","75,05",26,"262144,    1,    1","  512,    1,    1"
84,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,79","78,72",26,"262144,    1,    1","  512,    1,    1"
85,0.00,bitonic_sort_step,bitonic_sort_step..,"6,45","0,00","6,69","69,39",26,"262144,    1,    1","  512,    1,    1"
86,0.00,bitonic_sort_step,bitonic_sort_step..,"5,53","0,00","14,14","82,77",26,"262144,    1,    1","  512,    1,    1"
87,0.00,bitonic_sort_step,bitonic_sort_step..,"5,95","0,00","13,25","83,32",26,"262144,    1,    1","  512,    1,    1"
88,0.00,bitonic_sort_step,bitonic_sort_step..,"6,36","0,00","11,90","87,37",26,"262144,    1,    1","  512,    1,    1"
89,0.00,bitonic_sort_step,bitonic_sort_step..,"5,73","0,00","12,04","80,09",26,"262144,    1,    1","  512,    1,    1"
90,0.00,bitonic_sort_step,bitonic_sort_step..,"4,70","0,00","11,64","73,63",26,"262144,    1,    1","  512,    1,    1"
91,0.00,bitonic_sort_step,bitonic_sort_step..,"4,56","0,00","6,38","87,48",26,"262144,    1,    1","  512,    1,    1"
92,0.00,bitonic_sort_step,bitonic_sort_step..,"4,59","0,00","6,45","87,22",26,"262144,    1,    1","  512,    1,    1"
93,0.00,bitonic_sort_step,bitonic_sort_step..,"4,63","0,00","6,36","86,52",26,"262144,    1,    1","  512,    1,    1"
94,0.00,bitonic_sort_step,bitonic_sort_step..,"4,76","0,00","6,22","84,63",26,"262144,    1,    1","  512,    1,    1"
95,0.00,bitonic_sort_step,bitonic_sort_step..,"4,92","0,00","6,08","82,69",26,"262144,    1,    1","  512,    1,    1"
96,0.00,bitonic_sort_step,bitonic_sort_step..,"5,21","0,00","5,93","79,08",26,"262144,    1,    1","  512,    1,    1"
97,0.00,bitonic_sort_step,bitonic_sort_step..,"5,57","0,00","5,85","75,40",26,"262144,    1,    1","  512,    1,    1"
98,0.00,bitonic_sort_step,bitonic_sort_step..,"5,35","0,00","6,79","78,71",26,"262144,    1,    1","  512,    1,    1"
99,0.00,bitonic_sort_step,bitonic_sort_step..,"6,41","0,00","6,70","69,74",26,"262144,    1,    1","  512,    1,    1"
100,0.00,bitonic_sort_step,bitonic_sort_step..,"5,57","0,00","14,11","82,06",26,"262144,    1,    1","  512,    1,    1"
101,0.00,bitonic_sort_step,bitonic_sort_step..,"5,95","0,00","13,18","83,07",26,"262144,    1,    1","  512,    1,    1"
102,0.00,bitonic_sort_step,bitonic_sort_step..,"6,30","0,00","11,87","86,57",26,"262144,    1,    1","  512,    1,    1"
103,0.00,bitonic_sort_step,bitonic_sort_step..,"5,60","0,00","12,20","78,48",26,"262144,    1,    1","  512,    1,    1"
104,0.00,bitonic_sort_step,bitonic_sort_step..,"4,40","0,00","11,86","73,97",26,"262144,    1,    1","  512,    1,    1"
105,0.00,bitonic_sort_step,bitonic_sort_step..,"4,54","0,00","6,41","87,66",26,"262144,    1,    1","  512,    1,    1"
106,0.00,bitonic_sort_step,bitonic_sort_step..,"4,64","0,00","6,45","85,77",26,"262144,    1,    1","  512,    1,    1"
107,0.00,bitonic_sort_step,bitonic_sort_step..,"4,58","0,00","6,41","87,42",26,"262144,    1,    1","  512,    1,    1"
108,0.00,bitonic_sort_step,bitonic_sort_step..,"4,65","0,00","6,34","85,79",26,"262144,    1,    1","  512,    1,    1"
